sample,Hash,nReads
LL_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4288
TR_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2280
SA_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5440
TW_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3129
PO_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7208
TR_201703B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,612
PO_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4421
PO_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3050
SA_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3865
PO_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8436
SA_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6091
TR_201703A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,29
TW_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1239
TR_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2548
PO_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2477
PO_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3125
LL_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8813
TR_201703C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,458
PO_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5478
TR_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3472
TR_201703C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,123
LL_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2357
LL_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2822
SA_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1784
PO_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7916
TR_201703B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,668
TW_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,93
SA_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7419
TR_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,439
TR_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,9283
TW_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8176
TR_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,141
LL_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3491
FH_201706A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,2
SA_201703B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,2
TW_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1516
Kangaroo.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,3
TW_201709B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4851
SA_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,15442
TW_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1125
TR_201703A.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,6
TW_201711B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,46
TR_201711C.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,2236
SA_201711A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,5012
TR_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,2389
LL_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,4135
TR_201709B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4159
SA_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,9674
PO_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,4542
PO_201711B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1631
PO_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1798
SA_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,9476
PO_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,6979
SA_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,698
TR_201703A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,9
TW_201711B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,169
TR_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,9889
PO_201709A.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,4413
PO_201711B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,1167
LL_201711B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1986
TR_201703C.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,16
PO_201711A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,1678
TR_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,13927
TR_201703C.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,29
LL_201709A.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,6143
LL_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,8338
SA_201709B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4505
PO_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,4179
TR_201703B.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,10
TW_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,716
SA_201709C.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,8072
TR_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,11115
TR_201711A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,1004
TW_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,314
TR_201709A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4165
LL_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,10682
SA_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,9261
TW_201711B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1012
TR_201711C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,12875
SA_201711A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,559
TR_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,2348
LL_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13
TR_201709B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,707
SA_201709C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,4905
TW_201711A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1070
PO_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,10385
PO_201711B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1116
PO_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1928
SA_201709A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13404
PO_201709C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,9054
SA_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,4057
TW_201711B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,16
TR_201709A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,138
PO_201709A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13892
PO_201711B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,185
LL_201711B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,67
PO_201711A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1872
TR_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,36
LL_201709A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,920
LL_201709C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,734
SA_201709B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13480
PO_201709A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,9819
SA_201709C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,6409
TR_201711A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,16155
TW_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,379
TR_201709A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,166
LL_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,167
SA_201703B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1344
SA_201703C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2089
LK_201706A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,16
SA_201703A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1881
CP_201706B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,146
FH_201706A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,15
LK_201708B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,28
CP_201707B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,39
FH_201706A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,27
SA_201703A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1185
LK_201706C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,36
FH_201706C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,46
FH_201706B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,41
FH_201706A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,28
FH_201708C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1460
FH_201708B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,919
FH_201707A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,19
FH_201707B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,594
FH_201708A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,959
FH_201707A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7
CP_201706B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,560
CP_201708A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1000
FH_201706B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,30
CP_201708A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,514
CP_201708B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1026
LK_201708A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,213
CP_201708C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,780
LK_201706B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,12
LK_201708C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,390
CP_201706A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,45
CP_201706A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,162
