sample,Hash,nReads
FH_201711C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,473
CP_201711C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1290
FH_201710B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1915
LK_201709B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,564
LK_201710B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,8753
LK_201710C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2097
FH_201709A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2943
FH_201710C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,3823
FH_201711B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1305
FH_201710C.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,7222
LK_201710C.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,5397
CP_201710A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,10023
CP_201711C.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1790
CP_201710C.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,10383
LK_201710A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,476
LK_201710C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,4503
FH_201709A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,3185
LK_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,241
FH_201711C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1111
LK_201711B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,957
FH_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,117
FH_201710C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1850
FH_201711B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,978
CP_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1562
FH_201709B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,223
CP_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1246
