ID,Kingdom,PhylumDivision,Class,Order,Family,Genus,Species,CommonName,Nonindigenous,EarlyLifeMinerology,AdultMinerology,PugetSoundReference,EarlyLifeMineralReference,AdultMineralReference,SpeciesTaxonomyReference
400,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Coilodesme,bulligera,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
401,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Coilodesme,californica,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
402,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Gomontiaceae,Collinsiella,tuberculata,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,"Becker et al 1994, Okuda 2002",AlgaeBase
403,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,Collisella,instabilis,Unstable Limpet,,"Amorphous, Aragonite","Aragonite, Calcite",Race Rocks,"Eyster 1986, Hasse et al 2000","Hedegaard et al 1997, Dodd 1967, Anistratenko 2007",ITIS
404,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,Collisella,digitalis,Unstable Limpet,,"Amorphous, Aragonite","Aragonite, Calcite",Race Rocks,"Eyster 1986, Hasse et al 2000","Hedegaard et al 1997, Dodd 1967, Anistratenko 2007",ITIS
405,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,bullosa,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
406,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,peregenia,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
407,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Colus,griseus,Gray Whelk,,"Amorphous, Aragonite",Aragonite,WSU Beachwatchers,"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
408,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Compsomyax,subdiaphana,Milky venus,,"Amorphous, Aragonite",Aragonite,Dawson 1971; PSMEP_Benthic_Inverts((Carpenter 1864)); WDFW Subtidal Survey,"Lee et al 2006, Weiss et al 2002",Taylor et al 1969,ITIS
409,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Compsonema,serpens,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
410,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Compsonema,sessile,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
411,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Compsonema,sporangiiferum,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
412,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Constantinea,simplex,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
413,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Constantinea,subulifera,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
414,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,vancouverensis,Pink Feather Coralline,,No mineralization,High Mg Calcite,Emerald Diving,Borowitzka and Vesk 1978; guess,"Guinotte and Fabry 2008, Jokiel et al. 2008",AlgaeBase
415,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,frondescens,,,No mineralization,High Mg Calcite,Scagel et al 1989,Borowitzka and Vesk 1978; guess,"Guinotte and Fabry 2008, Jokiel et al. 2008",AlgaeBase
416,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,officinalis,,,No mineralization,High Mg Calcite,Scagel et al 1989,Borowitzka and Vesk 1978; guess,"Guinotte and Fabry 2008, Jokiel et al. 2008",AlgaeBase
417,Animalia,Cnidaria,Hydrozoa,Anthoathecatae,Oceanidae,Cordylophora,caspia,,Non-indigenous,No mineralization,No mineralization,C. Mills,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
418,Animalia,Chordata,Ascidiacea,Phlebobranchia,Corellidae,Corella,inflate,Brooding Tunicate,,No mineralization,No mineralization,Emerald Diving,Lowenstam 1989,"Lowenstem and Weiner 1989, Lambert et al 1990",WoRMS
419,Animalia,Chordata,Ascidiacea,Phlebobranchia,Corellidae,Corella,willmeriana,Transparent Sea Squirt,,No mineralization,No mineralization,Emerald Diving; PSMEP_Benthic_Inverts(Herdman 1898),Lowenstam 1989,"Lowenstem and Weiner 1989, Lambert et al 1990",ITIS
