MiSeq_Run,sample,Hash,nReads
5,TR_201703B.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,5
5,TW_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,712
5,SA_201709C.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,8068
5,TR_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,11111
5,TR_201711A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,999
5,TW_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,310
5,TR_201709A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4161
5,LL_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,10678
5,SA_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,9261
5,TW_201711B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1012
5,TR_201711C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,12875
5,SA_201711A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,559
5,TR_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,2348
5,LL_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13
5,TR_201709B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,707
5,SA_201709C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,4905
5,TW_201711A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1070
5,PO_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,10385
5,PO_201711B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1116
5,PO_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1928
5,SA_201709A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13404
5,PO_201709C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,9054
5,SA_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,4057
5,TW_201711B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,16
5,TR_201709A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,138
5,PO_201709A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13892
5,PO_201711B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,185
5,LL_201711B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,67
5,PO_201711A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1872
5,TR_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,36
5,LL_201709A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,920
5,LL_201709C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,734
5,SA_201709B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13480
5,PO_201709A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,9819
5,SA_201709C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,6409
5,TR_201711A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,16155
5,TW_201711C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,379
5,TR_201709A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,166
5,LL_201709B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,167
5,SA_201703B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1343
5,SA_201703C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2088
5,LK_201706A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,15
5,SA_201703A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1880
5,CP_201706B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,145
5,FH_201706A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,14
5,LK_201708B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,27
5,CP_201707B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,38
5,FH_201706A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,26
5,SA_201703A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1184
5,LK_201706C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,35
5,FH_201706C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,45
5,FH_201706B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,40
5,FH_201706A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,27
5,FH_201708C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1459
5,FH_201708B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,918
5,FH_201707A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,18
